=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Function(pm_rand_update) | Type: FunctionNode              | Symbol: Symbol{name='pm_rand_update', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: k                    | Type: IdentifierNode            | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='x', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(x)       | Type: PathExprSegNode           | Symbol: Symbol{name='x', kind=PARAMETER, scopeLevel=1}
Node: x                    | Type: IdentifierNode            | Symbol: Symbol{name='x', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(q)       | Type: PathExprSegNode           | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: q                    | Type: IdentifierNode            | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: new_x                | Type: IdentifierNode            | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(a)       | Type: PathExprSegNode           | Symbol: Symbol{name='a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='x', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(x)       | Type: PathExprSegNode           | Symbol: Symbol{name='x', kind=PARAMETER, scopeLevel=1}
Node: x                    | Type: IdentifierNode            | Symbol: Symbol{name='x', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(k)       | Type: PathExprSegNode           | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: k                    | Type: IdentifierNode            | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(q)       | Type: PathExprSegNode           | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: q                    | Type: IdentifierNode            | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='r', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(r)       | Type: PathExprSegNode           | Symbol: Symbol{name='r', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(k)       | Type: PathExprSegNode           | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: k                    | Type: IdentifierNode            | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(new_x)   | Type: PathExprSegNode           | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: new_x                | Type: IdentifierNode            | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(new_x)   | Type: PathExprSegNode           | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: new_x                | Type: IdentifierNode            | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='m', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(m)       | Type: PathExprSegNode           | Symbol: Symbol{name='m', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: m                    | Type: IdentifierNode            | Symbol: Symbol{name='m', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(new_x)   | Type: PathExprSegNode           | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: new_x                | Type: IdentifierNode            | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: Struct(Edge)         | Type: StructNode                | Symbol: Symbol{name='Edge', kind=STRUCT, scopeLevel=0}
Node: Edge                 | Type: IdentifierNode            | Symbol: Symbol{name='Edge', kind=STRUCT, scopeLevel=0}
Node: Field(from)          | Type: FieldNode                 | Symbol: Symbol{name='from', kind=FIELD, scopeLevel=0}
Node: from                 | Type: IdentifierNode            | Symbol: Symbol{name='from', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(to)            | Type: FieldNode                 | Symbol: Symbol{name='to', kind=FIELD, scopeLevel=0}
Node: to                   | Type: IdentifierNode            | Symbol: Symbol{name='to', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(weight)        | Type: FieldNode                 | Symbol: Symbol{name='weight', kind=FIELD, scopeLevel=0}
Node: weight               | Type: IdentifierNode            | Symbol: Symbol{name='weight', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(capacity)      | Type: FieldNode                 | Symbol: Symbol{name='capacity', kind=FIELD, scopeLevel=0}
Node: capacity             | Type: IdentifierNode            | Symbol: Symbol{name='capacity', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(flow)          | Type: FieldNode                 | Symbol: Symbol{name='flow', kind=FIELD, scopeLevel=0}
Node: flow                 | Type: IdentifierNode            | Symbol: Symbol{name='flow', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(Graph)        | Type: StructNode                | Symbol: Symbol{name='Graph', kind=STRUCT, scopeLevel=0}
Node: Graph                | Type: IdentifierNode            | Symbol: Symbol{name='Graph', kind=STRUCT, scopeLevel=0}
Node: Field(vertices)      | Type: FieldNode                 | Symbol: Symbol{name='vertices', kind=FIELD, scopeLevel=0}
Node: vertices             | Type: IdentifierNode            | Symbol: Symbol{name='vertices', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(edges)         | Type: FieldNode                 | Symbol: Symbol{name='edges', kind=FIELD, scopeLevel=0}
Node: edges                | Type: IdentifierNode            | Symbol: Symbol{name='edges', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(Edge)    | Type: PathExprSegNode           | Symbol: Symbol{name='Edge', kind=STRUCT, scopeLevel=0}
Node: Edge                 | Type: IdentifierNode            | Symbol: Symbol{name='Edge', kind=STRUCT, scopeLevel=0}
Node: Field(edge_count)    | Type: FieldNode                 | Symbol: Symbol{name='edge_count', kind=FIELD, scopeLevel=0}
Node: edge_count           | Type: IdentifierNode            | Symbol: Symbol{name='edge_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(adj_list)      | Type: FieldNode                 | Symbol: Symbol{name='adj_list', kind=FIELD, scopeLevel=0}
Node: adj_list             | Type: IdentifierNode            | Symbol: Symbol{name='adj_list', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(adj_count)     | Type: FieldNode                 | Symbol: Symbol{name='adj_count', kind=FIELD, scopeLevel=0}
Node: adj_count            | Type: IdentifierNode            | Symbol: Symbol{name='adj_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(dist)          | Type: FieldNode                 | Symbol: Symbol{name='dist', kind=FIELD, scopeLevel=0}
Node: dist                 | Type: IdentifierNode            | Symbol: Symbol{name='dist', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(visited)       | Type: FieldNode                 | Symbol: Symbol{name='visited', kind=FIELD, scopeLevel=0}
Node: visited              | Type: IdentifierNode            | Symbol: Symbol{name='visited', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(floyd_dist)    | Type: FieldNode                 | Symbol: Symbol{name='floyd_dist', kind=FIELD, scopeLevel=0}
Node: floyd_dist           | Type: IdentifierNode            | Symbol: Symbol{name='floyd_dist', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(low)           | Type: FieldNode                 | Symbol: Symbol{name='low', kind=FIELD, scopeLevel=0}
Node: low                  | Type: IdentifierNode            | Symbol: Symbol{name='low', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(disc)          | Type: FieldNode                 | Symbol: Symbol{name='disc', kind=FIELD, scopeLevel=0}
Node: disc                 | Type: IdentifierNode            | Symbol: Symbol{name='disc', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(on_stack)      | Type: FieldNode                 | Symbol: Symbol{name='on_stack', kind=FIELD, scopeLevel=0}
Node: on_stack             | Type: IdentifierNode            | Symbol: Symbol{name='on_stack', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(stack)         | Type: FieldNode                 | Symbol: Symbol{name='stack', kind=FIELD, scopeLevel=0}
Node: stack                | Type: IdentifierNode            | Symbol: Symbol{name='stack', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(stack_top)     | Type: FieldNode                 | Symbol: Symbol{name='stack_top', kind=FIELD, scopeLevel=0}
Node: stack_top            | Type: IdentifierNode            | Symbol: Symbol{name='stack_top', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(time)          | Type: FieldNode                 | Symbol: Symbol{name='time', kind=FIELD, scopeLevel=0}
Node: time                 | Type: IdentifierNode            | Symbol: Symbol{name='time', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(scc_count)     | Type: FieldNode                 | Symbol: Symbol{name='scc_count', kind=FIELD, scopeLevel=0}
Node: scc_count            | Type: IdentifierNode            | Symbol: Symbol{name='scc_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(parent)        | Type: FieldNode                 | Symbol: Symbol{name='parent', kind=FIELD, scopeLevel=0}
Node: parent               | Type: IdentifierNode            | Symbol: Symbol{name='parent', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(rank)          | Type: FieldNode                 | Symbol: Symbol{name='rank', kind=FIELD, scopeLevel=0}
Node: rank                 | Type: IdentifierNode            | Symbol: Symbol{name='rank', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(mst_weight)    | Type: FieldNode                 | Symbol: Symbol{name='mst_weight', kind=FIELD, scopeLevel=0}
Node: mst_weight           | Type: IdentifierNode            | Symbol: Symbol{name='mst_weight', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@cc34f4d) | Type: ImplNode                  | TypeSymbol: Symbol{name='Edge', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(Edge)    | Type: PathExprSegNode           | Symbol: Symbol{name='Edge', kind=STRUCT, scopeLevel=0}
Node: Edge                 | Type: IdentifierNode            | Symbol: Symbol{name='Edge', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: from                 | Type: IdentifierNode            | Symbol: Symbol{name='from', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: to                   | Type: IdentifierNode            | Symbol: Symbol{name='to', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: weight               | Type: IdentifierNode            | Symbol: Symbol{name='weight', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: capacity             | Type: IdentifierNode            | Symbol: Symbol{name='capacity', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(Edge)    | Type: PathExprSegNode           | Symbol: Symbol{name='Edge', kind=STRUCT, scopeLevel=0}
Node: Edge                 | Type: IdentifierNode            | Symbol: Symbol{name='Edge', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Edge', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(Edge)    | Type: PathExprSegNode           | Symbol: Symbol{name='Edge', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: Edge                 | Type: IdentifierNode            | Symbol: Symbol{name='Edge', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(from)       | Type: FieldValNode              | Symbol: Symbol{name='from', kind=FIELD, scopeLevel=0}
Node: from                 | Type: IdentifierNode            | Symbol: Symbol{name='from', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='from', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(from)    | Type: PathExprSegNode           | Symbol: Symbol{name='from', kind=PARAMETER, scopeLevel=2}
Node: from                 | Type: IdentifierNode            | Symbol: Symbol{name='from', kind=PARAMETER, scopeLevel=2}
Node: FieldVal(to)         | Type: FieldValNode              | Symbol: Symbol{name='to', kind=FIELD, scopeLevel=0}
Node: to                   | Type: IdentifierNode            | Symbol: Symbol{name='to', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='to', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(to)      | Type: PathExprSegNode           | Symbol: Symbol{name='to', kind=PARAMETER, scopeLevel=2}
Node: to                   | Type: IdentifierNode            | Symbol: Symbol{name='to', kind=PARAMETER, scopeLevel=2}
Node: FieldVal(weight)     | Type: FieldValNode              | Symbol: Symbol{name='weight', kind=FIELD, scopeLevel=0}
Node: weight               | Type: IdentifierNode            | Symbol: Symbol{name='weight', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='weight', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(weight)  | Type: PathExprSegNode           | Symbol: Symbol{name='weight', kind=PARAMETER, scopeLevel=2}
Node: weight               | Type: IdentifierNode            | Symbol: Symbol{name='weight', kind=PARAMETER, scopeLevel=2}
Node: FieldVal(capacity)   | Type: FieldValNode              | Symbol: Symbol{name='capacity', kind=FIELD, scopeLevel=0}
Node: capacity             | Type: IdentifierNode            | Symbol: Symbol{name='capacity', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='capacity', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(capacity) | Type: PathExprSegNode           | Symbol: Symbol{name='capacity', kind=PARAMETER, scopeLevel=2}
Node: capacity             | Type: IdentifierNode            | Symbol: Symbol{name='capacity', kind=PARAMETER, scopeLevel=2}
Node: FieldVal(flow)       | Type: FieldValNode              | Symbol: Symbol{name='flow', kind=FIELD, scopeLevel=0}
Node: flow                 | Type: IdentifierNode            | Symbol: Symbol{name='flow', kind=FIELD, scopeLevel=0}
Node: Impl(for TypePathExprNode@17a7cec2) | Type: ImplNode                  | TypeSymbol: Symbol{name='Graph', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(Graph)   | Type: PathExprSegNode           | Symbol: Symbol{name='Graph', kind=STRUCT, scopeLevel=0}
Node: Graph                | Type: IdentifierNode            | Symbol: Symbol{name='Graph', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: vertices             | Type: IdentifierNode            | Symbol: Symbol{name='vertices', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(Graph)   | Type: PathExprSegNode           | Symbol: Symbol{name='Graph', kind=STRUCT, scopeLevel=0}
Node: Graph                | Type: IdentifierNode            | Symbol: Symbol{name='Graph', kind=STRUCT, scopeLevel=0}
Node: graph                | Type: IdentifierNode            | Symbol: Symbol{name='graph', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(Graph)   | Type: PathExprSegNode           | Symbol: Symbol{name='Graph', kind=STRUCT, scopeLevel=0}
Node: Graph                | Type: IdentifierNode            | Symbol: Symbol{name='Graph', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Graph', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(Graph)   | Type: PathExprSegNode           | Symbol: Symbol{name='Graph', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: Graph                | Type: IdentifierNode            | Symbol: Symbol{name='Graph', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(vertices)   | Type: FieldValNode              | Symbol: Symbol{name='vertices', kind=FIELD, scopeLevel=0}
Node: vertices             | Type: IdentifierNode            | Symbol: Symbol{name='vertices', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='vertices', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(vertices) | Type: PathExprSegNode           | Symbol: Symbol{name='vertices', kind=PARAMETER, scopeLevel=2}
Node: vertices             | Type: IdentifierNode            | Symbol: Symbol{name='vertices', kind=PARAMETER, scopeLevel=2}
Node: FieldVal(edges)      | Type: FieldValNode              | Symbol: Symbol{name='edges', kind=FIELD, scopeLevel=0}
Node: edges                | Type: IdentifierNode            | Symbol: Symbol{name='edges', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='Edge', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(Edge)    | Type: PathExprSegNode           | Symbol: Symbol{name='Edge', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
